Thomas N. Scortia,59,"American author, leukemia"
Thomas Ward,78,Scottish wrestler
Tim Greve,60,"Norwegian historian, cancer"
Tim McIntire,41,"American actor, heart failure"
Tiny Gooch,82,American football player and political activist
Tite Figueroa,59,Puerto Rican baseball player
Tony Siano,79,American NFL football player
Torbjørn Kristoffersen,93,Norwegian Olympic gymnast (1920)
Tran Minh Tiet,63,South Vietnamese politician and judge
Urylee Leonardos,75,American actress and singer
Valentin Kataev,89,Soviet writer
Valentín Parera,90,Spanish actor
Valerie von Martens,91,German-Austrian actress
Valery Khodemchuk,35,"Soviet Ukrainian engineer, reactor explosion"
Verena Loewensberg,73,Swiss painter
Vergil D. Reed,88–89,American advertising executive and university professor
Vic Baltzell,73,American NFL football player
Vic Lawrence,58,Australian rules footballer
Vickie Panos,66,Canadian baseball player
Victor H. Espinoza,56,"American soldier, Medal of Honor recipient"
Viktor Kokochashvili,81,Soviet Georgian chemist
Vladimír Novák,82,Czechoslovak Olympic skier (1928)
Vlastimil Moravec,36,"Czechoslovak Olympic cyclist (1972, 1976), traffic collision"
W. H. Walsh,72,British philosopher and classicist
Wallis Simpson,89,"American-British socialite, widow of Edward VIII, pneumonia"
Walter Tille,79,German trade unionist
Whitford Brown,75,New Zealand politician
Wilfred Broadhead,82,English cricketer
William A. Caldwell,79,American journalist
William Homan Thorpe,84,British zoologist
William Luther Rhodes,67,American judge
William Morrell,86,New Zealand historian
William P. Murphy,87,American judge
William S. Thomas,84,American Episcopalian prelate
Yukiko Okada,18,"Japanese singer, suicide by jumping"
Yuri Gulyayev,55,"Soviet singer, heart failure"
Zoltán Kaszab,70,Hungarian entomologist
Ángel Blanco,47,"Mexican professional wrestler, traffic collision"
Åke Kromnow,71,Swedish historian
Émile Maggi,78,"French Olympic racewalker (1948, 1952)"
