Sir Holmes Miller,66,New Zealand surveyor and conservationist
Sir Miles Clifford,89,British politician
Sir Thomas Williams,70,"British politician, MP (1949–1981)"
Sophocles Papas,91–93,Ottoman-American music publisher
Svend Jacobsen,79,Danish Olympic fencer (1936)
Sylvia Lyons Render,72,American educator and manuscript curator
Tadhg O'Driscoll,66,Irish footballer
Taihei Imamura,74,Japanese film critic
Tauno Kovanen,68,Finnish Olympic wrestler (1952)
Ted Wegert,53,American NFL football player
Tezer Özlü,42,"Turkish writer, breast cancer"
Theodora McCormick Du Bois,95,American author
Tom Bradshaw,81,Scottish footballer
Tommy Bell,63,"American NFL football referee, leukemia"
Tommy Douglas,81,"Scottish-born Canadian politician, cancer"
Tommy Freeman,82,American boxer
Victor Canning,74,British novelist
Victor Pike,78,British rugby player and Anglican prelate
Vilmos Kohut,79,Hungarian footballer
Wayne Ewing,58,American race car builder
Wei Pei-lan,74,Chinese politician
Wiley T. Buchanan Jr.,73,American diplomat
Willard Cantrell,71,American racing driver
William Albert Beller,85,American pianist
William Dollar,78,American ballet dancer and choreographer
Willibrordus Pouw,83,Dutch Olympic gymnast (1928)
Willie Jackson,85,Scottish footballer
Yanosuke Hirai,83,Japanese civil engineer
Yisrael Galili,74,Russian-born Israeli politician
Édouard Leguery,51,French Olympic rower (1956)
Ítalo López Vallecillos,53,Salvadoran writer
